geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
FAP	2.628199984951596	3.5506548960583624	3.6708457556181435	4.1992724616595405	5.006448442999673	7.161838564110457	7.065176328593297	7.450178883335296	6.871515149636181	6.190086488683614
FAS	3.645425630806644	3.391637918935159	2.4294839723604653	3.4102117541043415	1.7442239596390727	5.025183042009302	4.796517155426084	5.6089201834397935	5.720199376813613	5.270890763588424
FASLG	-3.527869017713063	-1.954407543046949	-2.1210116444411704	-0.8326158769194265	0.09757279947073705	2.984747124071831	3.6974439537026473	4.692846044523878	4.998236033437231	3.5576980684326007
FASN	8.662757745746989	8.758580271174004	8.8480362818333	8.54779610124987	8.874189550086493	5.928153009872894	6.1343672210509546	5.808951560230102	5.670774613737345	6.117670240813043
FAT2	8.943264803501396	9.050476835217273	8.926405656575065	8.704670498737068	8.005806634340056	6.678538316164721	4.674326026016246	4.90262224474292	4.79539120056289	6.0146640764251975
FBN2	0.4713285508195547	0.6498615679917411	0.3512011332488165	1.1656392413648502	1.1061815268610764	4.301921303608199	5.932602541686131	5.042042521661077	4.085278395952751	4.657330903865933
FBP1	2.6931312971175188	2.167467987413361	1.1051157159269402	1.635320595310573	-2.1738074215678522	6.250965001800564	6.26931106291707	5.436547059359936	5.874991435224221	7.730905258617855
FBXL16	3.075782195487936	2.8393476049200803	2.2904669512259863	3.1326940140844988	2.9141601392179024	0.544054791072428	0.0831924397911639	0.028327044077277933	-0.09378923232034192	0.057005087384183674
FBXO27	5.4528121271050525	4.9229140508100375	5.220096191907083	5.5921846092777105	5.499465258273387	3.4374857261778753	1.7226392938278081	2.0371569356236057	2.533705964034529	2.5855032568103975
FBXO6	2.9751670122620353	3.3189703917647155	2.928281201099274	3.2334178895433876	2.2267999848224775	5.327960632435036	4.96423466160993	5.649298825392524	5.630455842126227	5.299755097319974
FCAR	0.3183819564731063	-0.07576550405878073	1.436861251989011	0.6770885241561179	1.477904875178652	3.5079497980786454	3.9536899635405383	3.1442964819962844	4.272990978954476	3.4793584641535595
FCER1A	4.752059819678325	4.856392741358783	3.9227441253935886	5.040945219486544	5.368227724764233	4.386216353489495	1.744742591937627	0.23668028243245556	1.7833645052424993	1.885832950819278
FCER1G	1.8482081192489372	3.1812045387827532	2.639995376768014	3.617337836430521	2.5375889810962273	7.0261936724859995	7.228093373046757	7.434752958552837	7.56833015355549	7.64201840588588
FCGBP	7.869438807740232	6.578380159685671	7.113555515006386	7.6394541784634455	7.966568102749387	5.344340623610537	4.027520728043687	4.472477049444274	5.105250624224451	5.196309251764217
FCGR1A	-0.7172042372004053	1.2868023583131247	0.48804044243941397	-0.15064844517081938	-2.1738074215678522	7.853899816072751	7.683315035385836	8.641580142018203	8.602476753934438	7.878976923975275
FCGR1CP	-6.397839033044039	-2.617644239768409	-2.826526435178894	-5.124574562837045	-2.1738074215678522	3.6894651164439334	3.698450673754614	5.111737422733115	4.835898494106736	3.8741459990038156
FCGR2A	1.244522358337603	2.0541658927181317	1.9083845121925256	3.175571562844788	3.2555926994762396	6.852690287326683	7.098497342532806	6.796852905920954	6.675931576656964	6.428326883827538
FCGR2B	3.2142124876777993	4.66232164555463	4.1965711040144065	5.255593518729089	5.607808434156874	7.0420300221136	6.1959935547014515	6.643616943498077	6.7956441580854285	6.2620847182055375
FCGR2C	3.204129012441336	3.7475054940309604	3.411315074781597	2.259579868962094	3.9583895874114994	6.131275704563053	6.450461797416936	7.4382526730290985	7.127552631713416	5.914455663542579
FCGR3A	0.7719619059489695	-0.487613079070935	1.3787567494242425	1.346120053321037	2.8325140202412715	7.580198098395236	8.570609413313399	9.128241251097585	8.919568851022506	9.138667050744024
FCGR3B	1.1055044665180636	0.2162145316064387	0.1065234103851978	2.332671552778184	2.059449837464846	3.0421754943496957	5.825393718290497	3.851016242941705	4.148465199595265	4.138159560555743
FCMR	-0.2893403205922562	0.9475174145174424	1.1889109248487968	0.20202377333309474	-0.018982553094365747	3.851334018747383	4.672759482473332	4.794740889089301	4.379432851134886	4.26311358301457
FCN1	2.007187332447848	3.0862877896559935	2.5937694574725696	1.9864092829078468	1.4743968482077268	6.364072283303003	6.150359500271071	5.936787754330141	4.610673352112367	4.688520900205681
FCRL5	1.8042570073322801	1.3862550824011008	3.1700162214993486	1.4048980796833406	0.9550542968267529	6.178239062555333	5.439091064177098	5.699534077132869	5.665581982059059	4.200029482451266
FCRL6	-0.7366659139370071	0.2910591861789569	0.24548735769897967	-0.47702103594974676	-0.5060736571185677	2.774886554306476	3.723170410899513	3.459158888102617	4.230804706506032	3.501369611047421
FER1L4	-0.1451611109586059	-0.3767158249395298	0.9922612025511225	0.6426639540583111	-0.33735030462421245	3.411152540770355	3.615804406073144	3.7249540638715053	3.7138149669511464	2.454440822380935
FERMT3	1.3780950304871382	3.0051155807325935	2.0445309882403104	2.648761431543717	3.334244108801223	5.79717121716391	6.353139693805021	5.870464746570622	6.149667821811751	6.399382926699524
FES	3.066990194192346	3.782640241789425	3.4354177056276516	3.7982083335881605	4.499282332080994	5.819455015240543	6.167114339211087	5.581065370716518	6.001956143238149	5.489500242623085
FGD2	3.952144018794813	4.053448592040031	3.8013403294076342	3.887654081263126	4.249050318717328	6.538825324178747	6.845130510166538	7.081323178015372	6.926902743121631	6.93071847345277
FGD3	2.734877698439744	2.8893788549468042	2.668340504026941	3.3959677448521415	3.782549640768608	5.537186443881175	5.812887857618904	6.089115185339684	6.166529221168894	5.735730583532465
